DocumentTitle,DocumentType,CustomerName,OrgName,CreatedDate,DocumentCategoryName,DocumentSubCategoryName,SubDocumentCategoryName
Kids cold Medicine software,Kids cold Medicine software,ChanduSoftware,Akshaya Medicare,3/23/2017 1:59:16 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,Honmay,Akshaya Medicare,3/20/2017 12:24:05 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,ChanduSoftware,Akshaya Medicare,3/17/2017 2:46:43 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,HDFC,Akshaya Medicare,3/17/2017 2:46:42 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,Honmay,Akshaya Medicare,3/17/2017 2:46:42 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,ChanduSoftware,Akshaya Medicare,3/17/2017 2:34:05 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,HDFC,Akshaya Medicare,3/17/2017 2:34:05 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,Honmay,Akshaya Medicare,3/17/2017 2:34:04 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,ChanduSoftware,Akshaya Medicare,3/16/2017 3:08:51 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,Honmay,Akshaya Medicare,3/16/2017 3:08:50 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,ChanduSoftware,Akshaya Medicare,3/13/2017 2:00:44 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,Honmay,Akshaya Medicare,3/13/2017 2:00:43 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,ChanduSoftware,Akshaya Medicare,3/13/2017 1:57:13 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,HDFC,Akshaya Medicare,3/13/2017 1:57:12 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,Honmay,Akshaya Medicare,3/13/2017 1:57:12 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,ChanduSoftware,Akshaya Medicare,3/13/2017 12:50:46 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,HDFC,Akshaya Medicare,3/13/2017 12:50:45 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,Honmay,Akshaya Medicare,3/13/2017 12:50:45 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,Honmay,Akshaya Medicare,3/13/2017 12:49:56 AM,Generic medicins,Kids Medicine,Kids
Test,Test Doc,ChanduSoftware,Akshaya Medicare,3/10/2017 5:47:40 PM,Generic medicins,Kids Medicine,Kids
Test,Test Doc,HDFC,Akshaya Medicare,3/10/2017 5:47:22 PM,Generic medicins,Kids Medicine,Kids
Test,Test Doc,Honmay,Akshaya Medicare,3/10/2017 5:46:11 PM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,ChanduSoftware,Akshaya Medicare,3/10/2017 4:36:12 PM,Generic medicins,Kids Medicine,Kids
