DocumentTitle,DocumentType,CustomerName,OrgName,CreatedDate,DocumentCategoryName,DocumentSubCategoryName,SubDocumentCategoryName
Medical doc,Text,Sanjana,Star Mark,1/6/2017 6:15:44 PM,Generic medicins,,
Company Policies,Company Policies,sss,Thrishal Softwares,1/6/2017 5:34:20 AM,HR Policies,Offer Letter,
Medical doc,Text,Keerthi,Star Mark,1/6/2017 4:33:29 AM,Generic medicins,,
IT with Medicare associate,IT with Medicare associate,Keerthi,Star Mark,1/6/2017 4:33:06 AM,Generic medicins,,
IT Reports,Reports,Keerthi,Star Mark,1/6/2017 4:20:38 AM,Generic medicins,,
Medical doc,Text,Sanjana,Star Mark,1/6/2017 4:10:07 AM,Generic medicins,,
Dept1,Dep,Soumya,Testing,1/6/2017 12:30:45 PM,Axis Bank Account,,
Dept1,Dep,Soumya,Testing,1/6/2017 12:19:49 PM,Axis Bank Account,,
Medical doc,Text,Keerthi,Star Mark,1/5/2017 12:04:33 AM,Generic medicins,,
Medical doc,Text,Pratham,Star Mark,1/5/2017 12:04:26 AM,Generic medicins,,
Medical doc,Text,Sanjana,Star Mark,1/5/2017 12:04:19 AM,Generic medicins,,
